diseaseName	geneSymbol	associationScore
Breast_Cancer	GENE_40	0.74
Breast_Cancer	GENE_29	0.78
Breast_Cancer	ATM	0.69
Breast_Cancer	GENE_7	0.63
Breast_Cancer	GENE_14	0.65
Breast_Cancer	GENE_42	0.55
Breast_Cancer	GENE_34	0.61
Breast_Cancer	GENE_43	0.98
Breast_Cancer	GENE_31	0.79
Breast_Cancer	GENE_41	0.71
Breast_Cancer	GENE_6	0.68
Breast_Cancer	GENE_2	0.92
Breast_Cancer	GENE_21	0.98
Breast_Cancer	GENE_11	0.96
Breast_Cancer	GENE_36	0.67
Ovarian_Cancer	GENE_43	0.6
Ovarian_Cancer	GENE_25	0.52
Ovarian_Cancer	CHEK2	0.63
Ovarian_Cancer	GENE_34	0.76
Ovarian_Cancer	GENE_42	0.54
Ovarian_Cancer	GENE_9	0.8
Ovarian_Cancer	ATM	0.98
Ovarian_Cancer	BRCA2	0.55
Ovarian_Cancer	GENE_19	0.69
Ovarian_Cancer	GENE_5	0.84
Ovarian_Cancer	GENE_41	0.87
Ovarian_Cancer	GENE_31	0.85
Ovarian_Cancer	GENE_27	0.98
Ovarian_Cancer	GENE_38	0.95
Ovarian_Cancer	GENE_20	0.56
Prostate_Cancer	GENE_14	0.94
Prostate_Cancer	GENE_19	0.52
Prostate_Cancer	GENE_43	0.97
Prostate_Cancer	GENE_4	0.62
Prostate_Cancer	GENE_2	0.98
Prostate_Cancer	GENE_31	0.84
Prostate_Cancer	GENE_5	0.53
Prostate_Cancer	GENE_10	0.9
Prostate_Cancer	GENE_42	0.64
Prostate_Cancer	GENE_17	0.93
Prostate_Cancer	GENE_38	0.9
Prostate_Cancer	GENE_35	0.52
Prostate_Cancer	GENE_13	0.74
Pancreatic_Cancer	GENE_29	0.84
Pancreatic_Cancer	GENE_31	0.83
Pancreatic_Cancer	GENE_27	0.76
Pancreatic_Cancer	GENE_8	0.71
Pancreatic_Cancer	GENE_17	0.91
Pancreatic_Cancer	GENE_20	0.71
Pancreatic_Cancer	ATM	0.92
Pancreatic_Cancer	BRCA1	0.69
Pancreatic_Cancer	GENE_3	0.77
Pancreatic_Cancer	GENE_13	0.83
Pancreatic_Cancer	GENE_39	0.93
Pancreatic_Cancer	GENE_6	0.5
Pancreatic_Cancer	GENE_12	0.99
Pancreatic_Cancer	CHEK2	0.9
Melanoma	GENE_15	0.75
Melanoma	GENE_3	0.69
Melanoma	GENE_10	0.81
Melanoma	GENE_32	0.52
Melanoma	GENE_11	0.98
Melanoma	GENE_20	0.88
Melanoma	GENE_35	0.85
Melanoma	GENE_27	0.61
Melanoma	GENE_6	0.98
Melanoma	GENE_38	0.73
Melanoma	GENE_40	0.57
Melanoma	GENE_23	0.62
Melanoma	GENE_24	0.82
Melanoma	GENE_7	0.51
Melanoma	GENE_21	0.53
